inst,format,opcode,funct3,funct7
add,R,0110011,000,0000000
sub,R,0110011,000,0100000
mul,R,0110011,000,0000001
div,R,0110011,100,0000001
sll,R,0110011,001,0000000
srl,R,0110011,101,0000000
sra,R,0110011,011,0000001
or,R,0110011,110,0000000
and,R,0110011,111,0000000
xor,R,0110011,100,0000000
lw,I,0000011,000,None
addi,I,0010011,000,None
slli,I,0010011,001,None
srli,I,0010011,101,None
srli,I,0010011,011,None
ori,I,0010011,110,None
andi,I,0010011,111,None
xori,I,0010011,100,None
jalr,I,1100111,000,None
sw,S,0100011,010,None
beq,B,1100011,000,None
bne,B,1100011,001,None
blt,B,1100011,100,None
bge,B,1100011,101,None
jal,J,1101111,None,None
nop,N,None,None,None
